trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.75, 'e': 0.6979999999999997}",20,0,-51.34480850039918,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
152,False,"{'a': 0.75, 'e': 0.6959999999999997}",20,0,-28.199676258049976,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
153,False,"{'a': 0.75, 'e': 0.6939999999999997}",20,11,-39.03155348167857,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.75, 'e': 0.6919999999999997}",20,0,-59.40082428717869,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
155,False,"{'a': 0.75, 'e': 0.6899999999999997}",20,0,-81.59821563225309,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
156,False,"{'a': 0.75, 'e': 0.6879999999999997}",25,0,-170.58341577956833,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
157,False,"{'a': 0.75, 'e': 0.6859999999999997}",30,0,-107.66483650391616,"{0: 17, 1: 6, 2: 4, 3: 3, 4: 0}",0
158,False,"{'a': 0.75, 'e': 0.6839999999999997}",25,0,-103.32781814146692,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
159,False,"{'a': 0.75, 'e': 0.6819999999999997}",20,5,-2.0417492198959786,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.75, 'e': 0.6799999999999997}",25,14,-6.727637282561667,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.75, 'e': 0.6779999999999997}",20,7,-8.502347391705971,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.75, 'e': 0.6759999999999997}",25,0,-111.72103000545151,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
163,False,"{'a': 0.75, 'e': 0.6739999999999997}",20,0,-24.211116765452477,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
164,False,"{'a': 0.75, 'e': 0.6719999999999997}",20,0,-107.91813592807969,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
165,False,"{'a': 0.75, 'e': 0.6699999999999997}",30,0,-70.22136362168439,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
166,False,"{'a': 0.75, 'e': 0.6679999999999997}",20,0,-55.02816353421314,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.75, 'e': 0.6659999999999997}",25,0,-124.9193200084697,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
168,False,"{'a': 0.75, 'e': 0.6639999999999997}",20,6,-41.22069427712077,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
169,False,"{'a': 0.75, 'e': 0.6619999999999997}",20,0,-57.33133893048557,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
170,False,"{'a': 0.75, 'e': 0.6599999999999997}",20,0,2.842580648674328,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
171,False,"{'a': 0.75, 'e': 0.6579999999999997}",30,0,-106.1162645490157,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
172,False,"{'a': 0.75, 'e': 0.6559999999999997}",20,0,-84.98901558802253,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
173,False,"{'a': 0.75, 'e': 0.6539999999999997}",25,4,-81.66822996396166,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 0}",1
174,False,"{'a': 0.75, 'e': 0.6519999999999997}",20,0,-27.540834909735416,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
175,False,"{'a': 0.75, 'e': 0.6499999999999997}",20,0,-36.41911356553148,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
176,False,"{'a': 0.75, 'e': 0.6479999999999997}",30,0,-85.42517342142582,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
177,False,"{'a': 0.75, 'e': 0.6459999999999997}",25,12,14.104861197998732,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.75, 'e': 0.6439999999999997}",35,8,-48.10341622476803,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 1}",1
179,False,"{'a': 0.75, 'e': 0.6419999999999997}",35,19,-51.836967336319546,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
180,False,"{'a': 0.75, 'e': 0.6399999999999997}",20,6,-1.3536679439434038,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.75, 'e': 0.6379999999999997}",30,6,-75.17202870558566,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 1}",1
182,False,"{'a': 0.75, 'e': 0.6359999999999997}",25,0,-27.267922386613222,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
183,False,"{'a': 0.75, 'e': 0.6339999999999997}",35,0,-24.51570566649537,"{0: 29, 1: 1, 2: 4, 3: 1, 4: 0}",0
184,False,"{'a': 0.75, 'e': 0.6319999999999997}",20,0,5.795199383438741,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
